AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT,PC1,PC2
20016,N20016,2017,777,370,7.591052,15,Ranch2,_7596,Ranch2_7596,-0.00443819,-0.00344092
20017,N20017,2017,857,380,3.601613,15,Ranch2,_7596,Ranch2_7596,0.391953,-0.00904819
20018,N20018,2017,813,580,5.906197,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00110135,0.0120354
20019,N20019,2017,860,310,3.257201,-999,Ranch5,_7586,Ranch5_7586,-0.00398582,-0.0240631
20020,N20020,2017,691,360,3.851418,15,Ranch2,_7596,Ranch2_7596,0.00705033,0.0353356
20021,N20021,2017,751,360,4.41906,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000612867,0.00258297
20022,N20022,2017,720,390,3.815276,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00288367,-0.00755477
20023,N20023,2017,820,430,3.88756,23,Ranch5,_7596,Ranch5_7596,0.00930524,-0.0101066
20024,N20024,2017,793,410,4.152247,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00264057,0.00113881
20025,N20025,2017,769,420,3.4411,-999,STOFI-Parker,_7596,STOFI-Parker_7596,0.00857267,0.0219512
20026,N20026,2017,813,430,4.191578,15,Ranch2,_7596,Ranch2_7596,0.00886069,0.047992
20027,N20027,2017,809,370,3.47299,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00525275,-0.00427876
20028,N20028,2017,801,380,6.829944,23,Ranch5,_7596,Ranch5_7596,-0.00403563,0.0128255
20029,N20029,2017,728,370,5.309854,15,Ranch2,_7596,Ranch2_7596,0.0260453,0.026839
20030,N20030,2017,788,360,4.628471,15,Ranch2,_7596,Ranch2_7596,-0.00248892,0.0493921
20031,N20031,2017,843,430,4.745401,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00232008,0.0201842
20032,N20032,2017,831,420,4.204334,9,Ranch14,_7596,Ranch14_7596,0.00483254,0.00153335
20033,N20033,2017,863,510,3.711102,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.000289551,-0.003594
20034,N20034,2017,889,450,4.906977,15,Ranch2,_7596,Ranch2_7596,0.00344208,-0.00661361
20035,N20035,2017,794,390,3.872678,23,Ranch5,_7596,Ranch5_7596,0.00313028,-0.028592
20036,N20036,2017,887,360,5.260956,9,Ranch14,_7596,Ranch14_7596,0.00037449,-0.0269471
20037,N20037,2017,791,440,5.389579,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.0072795,0.0273409
20038,N20038,2017,846,410,5.176979,11,Ranch17,_7126,Ranch17_7126,-0.00317951,-0.0305247
20039,N20039,2017,872,290,6.04545,11,Ranch17,_7126,Ranch17_7126,-0.00851979,-0.0350996
20040,N20040,2017,800,310,3.362438,-999,Ranch1,_7126,Ranch1_7126,-0.00219656,-0.0126933
20041,N20041,2017,779,340,9.78721,11,Ranch17,_7126,Ranch17_7126,-0.016011,-0.0203308
20042,N20042,2017,843,310,4.065081,-999,Ranch1,_7126,Ranch1_7126,0.00567727,-0.0375947
20043,N20043,2017,935,360,4.409493,11,Ranch17,_7126,Ranch17_7126,-0.00529743,-0.0320878
20044,N20044,2017,930,440,3.376257,11,Ranch17,_7126,Ranch17_7126,-0.00854732,-0.0344542
20045,N20045,2017,736,320,4.039569,11,Ranch17,_7126,Ranch17_7126,-0.00188593,-0.0409416
20046,N20046,2017,726,320,4.922922,11,Ranch17,_7126,Ranch17_7126,-0.0136707,-0.0307602
20047,N20047,2017,1019,430,4.0789,11,Ranch17,_7126,Ranch17_7126,-0.00437358,-0.0241122
20048,N20048,2017,765,380,4.901662,11,Ranch17,_7126,Ranch17_7126,-0.011329,-0.0124607
20049,N20049,2017,813,480,3.449604,11,Ranch17,_7126,Ranch17_7126,-0.00698273,-0.028397
20050,N20050,2017,820,380,3.486809,11,Ranch17,_7126,Ranch17_7126,-0.00197419,-0.0346621
20051,N20051,2017,899,510,5.581982,11,Ranch17,_7126,Ranch17_7126,-0.0080116,-0.0369159
20052,N20052,2017,916,340,4.46158,11,Ranch17,_7126,Ranch17_7126,-0.00637062,-0.0157691
20053,N20053,2017,851,430,5.97104,11,Ranch17,_7126,Ranch17_7126,-0.0118208,-0.00771901
