UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
N50043,2017,752,15,Ranch2,_7596,Ranch2_7596,0.00237308,0.00673432
N50044,2017,804,5,Ranch12,_7606,Ranch12_7606,-0.0114786,-0.0208489
N50045,2017,773,16,Ranch2,_7606,Ranch2_7606,0.0099601,-0.0117316
N50046,2017,750,17,Ranch2,_7626,Ranch2_7626,0.00628305,0.0354586
N50047,2017,819,4,Ranch11,_7606,Ranch11_7606,-0.00882174,0.012035
N50048,2017,711,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00832874,0.0242508
N50049,2017,922,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00814562,0.00612546
N50050,2017,792,5,Ranch12,_7606,Ranch12_7606,-0.00761308,-0.0250166
N50051,2017,821,6,Ranch12,_7626,Ranch12_7626,0.00687007,-0.0223999
N50052,2017,828,17,Ranch2,_7626,Ranch2_7626,-0.00555411,-0.0147654
N50053,2017,848,17,Ranch2,_7626,Ranch2_7626,0.0099803,0.0333477
N50054,2017,730,15,Ranch2,_7596,Ranch2_7596,0.00223842,-0.000580084
N50055,2017,605,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00835116,0.0473257
N50056,2017,667,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00296852,-0.00669929
N50057,2017,781,6,Ranch12,_7626,Ranch12_7626,-0.00482815,-0.0181826
N50058,2017,639,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.014921,0.000558277
N50059,2017,670,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00623673,-0.0465108
N50060,2017,799,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00367435,0.0115164
N50061,2017,747,17,Ranch2,_7626,Ranch2_7626,-0.00616448,0.0536889
N50062,2017,697,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00127417,-0.0123216
N50063,2017,777,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00951134,0.0161838
N50064,2017,828,17,Ranch2,_7626,Ranch2_7626,-0.00486896,-0.0285127
N50065,2017,811,15,Ranch2,_7596,Ranch2_7596,-0.00127578,-0.00988189
N50066,2017,812,6,Ranch12,_7626,Ranch12_7626,-0.00825822,-0.0199355
N50067,2017,795,17,Ranch2,_7626,Ranch2_7626,-0.0029726,-0.032201
N50068,2017,819,24,Ranch5,_7606,Ranch5_7606,-0.00227312,-0.0303887
N50069,2017,701,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.0167004,-0.0359263
