UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N20065,2017,520,11,Ranch17,_7126,Ranch17_7126,-0.0116262,-0.0196758
N20066,2017,390,11,Ranch17,_7126,Ranch17_7126,-0.0109793,-0.0194831
N20067,2017,580,11,Ranch17,_7126,Ranch17_7126,-0.00927528,-0.00911693
N20068,2017,640,11,Ranch17,_7126,Ranch17_7126,-0.00940633,-0.0435595
N20070,2017,390,11,Ranch17,_7126,Ranch17_7126,0.0143523,0.0240161
N20071,2017,410,11,Ranch17,_7126,Ranch17_7126,0.00295438,-0.0114981
N20072,2017,430,11,Ranch17,_7126,Ranch17_7126,-0.00484895,-0.0269615
N20073,2017,430,11,Ranch17,_7126,Ranch17_7126,-0.0103777,-0.0325591
N20074,2017,560,11,Ranch17,_7126,Ranch17_7126,-0.006104,-0.037042
N20075,2017,380,6,Ranch12,_7626,Ranch12_7626,-0.00730221,-0.00767988
N20076,2017,380,4,Ranch11,_7606,Ranch11_7606,0.00484881,-0.0160796
N20077,2017,280,17,Ranch2,_7626,Ranch2_7626,-0.00259414,-0.038018
N20078,2017,480,16,Ranch2,_7606,Ranch2_7606,0.00110772,-0.0233296
N20079,2017,390,5,Ranch12,_7606,Ranch12_7606,-0.00479999,-0.0460203
N20080,2017,410,5,Ranch12,_7606,Ranch12_7606,-0.00720952,-0.021979
N20081,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.00368984,5.67E-05
N20082,2017,410,16,Ranch2,_7606,Ranch2_7606,-0.000645871,-0.0372336
N20083,2017,390,4,Ranch11,_7606,Ranch11_7606,-0.00852933,0.0134284
N20084,2017,380,17,Ranch2,_7626,Ranch2_7626,-0.00649515,-0.00589754
N20085,2017,420,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00139103,0.0131907
N20086,2017,420,5,Ranch12,_7606,Ranch12_7606,-0.00319757,-0.0359585
N20087,2017,380,17,Ranch2,_7626,Ranch2_7626,0.000782737,-0.0228516
N20088,2017,390,5,Ranch12,_7606,Ranch12_7606,-0.00913281,-0.0107025
N20089,2017,450,5,Ranch12,_7606,Ranch12_7606,-0.00192927,-0.0118286
N20090,2017,370,5,Ranch12,_7606,Ranch12_7606,-0.000724073,-0.03371
N20091,2017,470,16,Ranch2,_7606,Ranch2_7606,-0.00414628,0.006106
N20092,2017,380,3,Ranch11,_7586,Ranch11_7586,0.0039703,-0.0166126
N20093,2017,390,5,Ranch12,_7606,Ranch12_7606,-0.000700652,-0.0297373
N20094,2017,510,6,Ranch12,_7626,Ranch12_7626,-0.00136099,-0.0262214
N20095,2017,390,24,Ranch5,_7606,Ranch5_7606,-0.00147918,-0.0192545
N20096,2017,340,24,Ranch5,_7606,Ranch5_7606,-0.00165238,-0.0386569
N20097,2017,340,6,Ranch12,_7626,Ranch12_7626,-0.00214577,-0.0393617
N20098,2017,410,17,Ranch2,_7626,Ranch2_7626,-0.009461,-0.0380874
N20099,2017,690,36,Ranch14,_7606,Ranch14_7606,0.00162824,0.0328815
N20100,2017,420,36,Ranch14,_7606,Ranch14_7606,0.00409512,0.0240733
N20101,2017,440,4,Ranch11,_7606,Ranch11_7606,0.00340145,-0.0252803
N20102,2017,460,5,Ranch12,_7606,Ranch12_7606,-0.0079688,-0.0435402
N20104,2017,220,17,Ranch2,_7626,Ranch2_7626,-0.00304168,-0.0337907
N20105,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.00756241,0.0046665
N20106,2017,620,16,Ranch2,_7606,Ranch2_7606,-0.00956591,-0.0201484
N20107,2017,390,17,Ranch2,_7626,Ranch2_7626,-0.0151885,-0.0338818
N20108,2017,420,5,Ranch12,_7606,Ranch12_7606,-0.00999402,-0.0141901
N30001,2017,410,16,Ranch2,_7606,Ranch2_7606,-0.00821333,-0.055022
N30002,2017,430,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0128223,-0.0350732
N30003,2017,390,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00169996,0.0242566
N30004,2017,290,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.0109423,-0.0217742
N30005,2017,450,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00323775,-0.00449284
N30006,2017,420,28,STOFI-Bright,_7186,STOFI-Bright_7186,-0.00750763,0.00801056
N30007,2017,310,19,Ranch3,_7186,Ranch3_7186,0.00296276,-0.0272838
